DBN,DISTRICT,SCHOOL,PRINCIPAL,PROGRESS REPORT TYPE,SCHOOL LEVEL*,PEER INDEX*,2009-2010 OVERALL GRADE,2009-2010 OVERALL SCORE,2009-2010 ENVIRONMENT CATEGORY SCORE,2009-2010 ENVIRONMENT GRADE,2009-2010 PERFORMANCE CATEGORY SCORE,2009-2010 PERFORMANCE GRADE,2009-2010 PROGRESS CATEGORY SCORE,2009-2010 PROGRESS GRADE,2009-2010 ADDITIONAL CREDIT,2008-09 PROGRESS REPORT GRADE
01M015,1,P.S. 015 Roberto Clemente,Thomas Staebell,EMS,Elementary,62.65,C,37.6,7.2,B,3,D,27.4,B,0,B
01M019,1,P.S. 019 Asher Levy,Jacqueline Flanagan,EMS,Elementary,48.94,C,35.7,6.4,B,4.9,D,24.4,B,0,A
01M020,1,P.S. 020 Anna Silver,James Lee,EMS,Elementary,57.68,A,70.3,9.3,A,7.9,C,44.1,A,9,A
01M034,1,P.S. 034 Franklin D. Roosevelt,Joyce Stallings Harte,EMS,K-8,66.75,B,53,6.8,B,7.4,C,33,B,5.8,A
01M063,1,P.S. 063 William McKinley,Darlene Despeignes,EMS,Elementary,57.55,B,54,7.8,B,7.1,C,35.8,A,3.3,B
01M064,1,P.S. 064 Robert Simon,Marlon L. Hosang,EMS,Elementary,61.5,C,31,10.3,A,5.4,D,15.3,D,0,A
01M110,1,P.S. 110 Florence Nightingale,Karen Feuer,EMS,Elementary,42.47,D,25.4,5.2,C,8.8,C,11.4,D,0,B
01M134,1,P.S. 134 Henrietta Szold,Loretta Caputo,EMS,Elementary,53.05,B,54.2,4.9,C,4.1,D,41.4,A,3.8,B
01M137,1,P.S. 137 John L. Bernstein,Melissa Rodriguez,EMS,Elementary,58.66,C,20.1,6.8,B,5.5,D,7.8,F,0,A
01M140,1,P.S. 140 Nathan Straus,Esteban Barrientos,EMS,K-8,61.9,B,43,8.5,A,7.2,C,26.5,B,0.8,A
01M142,1,P.S. 142 Amalia Castro,Rhonda Levy,EMS,Elementary,61.02,B,50.3,8.7,A,5.9,C,34.4,B,1.3,A
01M184,1,P.S. 184m Shuang Wen,Ling Ling Chou,EMS,K-8,27.58,A,92.1,12,A,19.2,A,52.9,A,8,A
01M188,1,P.S. 188 The Island School,Mary Pree,EMS,K-8,64.94,C,16.8,6.5,B,3.6,D,5.9,F,0.8,A
01M292,1,Henry Street School for International Studies,Erin Balet,HS,High School,2.16,D,40,5,F,13.3,C,21.7,F,0,B
01M292,1,Henry Street School for International Studies,Erin Balet,EMS,Middle,2.31,C,33.7,3.2,D,4.6,D,21.9,C,4,B
01M301,1,"Technology, Arts, and Sciences Studio",George Morgan,EMS,Middle,2.31,C,40.9,7.1,B,7.9,C,25.1,C,0.8,A
01M315,1,The East Village Community School,Robin Williams,EMS,Elementary,32.44,C,22.8,5.8,C,4.7,D,12.3,D,0,A
01M332,1,University Neighborhood Middle School,Laura Peynado,EMS,Middle,2.12,B,51.1,6.8,B,6.7,C,33.8,B,3.8,A
01M345,1,"Collaborative Academy of Science, Technology, & Language-Arts Education",Judith De Los Santos,EMS,Middle,2.72,B,44.6,6.4,B,8.8,C,27.1,B,2.3,A
01M361,1,The Children's Workshop School,Maria Velez Clarke,EMS,Elementary,35.38,C,34.3,8.2,B,1.3,F,24.8,B,0,B
01M363,1,Neighborhood School,Milo Novelo,EMS,Elementary,33.79,C,33.1,6.8,B,3.6,D,21.7,C,1,B
01M364,1,Earth School,Alison Gail Hazut,EMS,Elementary,31.8,D,22,8.6,B,0,F,13.4,D,0,B
01M378,1,School for Global Leaders,Carry Chan,EMS,Middle,2.49,B,56.5,11.3,A,12.2,B,30.5,B,2.5,
01M448,1,University Neighborhood High School,Elizabeth Collins,HS,High School,2.24,C,47.8,5.2,F,11.4,D,31.2,C,0,D
01M450,1,East Side Community School,Mark Federman,HS,High School,2.42,A,84,13.5,A,22.6,A,38.9,B,9,A
01M450,1,East Side Community School,Mark Federman,EMS,Middle,2.21,A,76.9,11.1,A,14.7,B,44.1,A,7,A
01M509,1,Marta Valle High School,Jayne Godlewski,HS,High School,2.01,B,62.6,8.4,C,12.9,C,38.3,B,3,B
01M515,1,Lower East Side Preparatory High School,Martha Polin,HST,High School Transfer,2.75,A,90.1,9.8,B,22.4,A,45.9,A,12,A
01M539,1,"New Explorations into Science, Technology and Math",Dr. Olga Livanis,HS,High School,3.55,B,67.2,8.1,C,23.7,A,35.4,B,0,A
01M539,1,"New Explorations into Science, Technology and Math",Dr. Olga Livanis,EMS,K-8,12.97,A,80.2,6.8,B,24.1,A,49.3,A,0,A
01M650,1,Cascades High School,Paul Rotondo,HST,High School Transfer,2.59,A,72.4,11.1,A,17.7,A,42.1,A,1.5,A
01M696,1,Bard High School Early College,Raymond Peterson,HS,High School,3.81,B,60.9,11.4,A,16.5,B,33,C,0,B
01M839,1,Tompkins Square Middle School,Sonhando Estwick,EMS,Middle,2.8,A,84.4,12.3,A,16.7,A,47.4,A,8,A
02M001,2,P.S. 001 Alfred E. Smith,Amy Hom,EMS,Elementary,39.34,B,41.2,4.4,C,9.5,C,23.5,C,3.8,B
02M002,2,P.S. 002 Meyer London,Brett Gustafson,EMS,Elementary,40.23,A,87.5,8.6,B,12.6,B,55.8,A,10.5,A
02M003,2,P.S. 003 Charrette School,Lisa Siegman,EMS,Elementary,17.09,B,47.8,8.5,B,6.5,C,26.5,B,6.3,A
02M006,2,P.S. 006 Lillie D. Blake,Lauren Fontana,EMS,Elementary,12.51,B,45.6,5.8,C,10.1,B,24.9,B,4.8,A
02M011,2,P.S. 011 William T. Harris,Robert Bender,EMS,Elementary,40.45,A,74,12.4,A,15.7,A,41.4,A,4.5,A
02M033,2,P.S. 033 Chelsea Prep,Linore Lindy,EMS,Elementary,50.44,A,62.2,13.6,A,15.5,A,28.8,B,4.3,A
02M040,2,P.S. 040 Augustus Saint-Gaudens,Susan Felder,EMS,Elementary,15.55,A,63.7,9.2,A,13.7,B,38,A,2.8,A
02M041,2,P.S. 041 Greenwich Village,Kelly Shannon,EMS,Elementary,11.69,B,58.2,9.8,A,12.4,B,29,B,7,A
02M042,2,P.S. 042 Benjamin Altman,Rosa Casiello O'day,EMS,Elementary,36.63,A,82.6,11.7,A,16.3,A,46.6,A,8,A
02M047,2,47 The American Sign Language and English Secondary School,Watfa A. Shama,HS,High School,1.67,A,76.6,11.1,A,15.6,B,49.9,A,0,A
02M047,2,47 The American Sign Language and English Secondary School,Watfa A. Shama,EMS,Middle,,,,,,,,,,,
02M051,2,P.S. 051 Elias Howe,Nancy Sing Bock,EMS,Elementary,49.51,B,57.2,11.2,A,14.5,B,31.5,B,0,A
02M059,2,P.S. 059 Beekman Hill International,Adele Schroeter,EMS,Elementary,19.37,B,43.8,9.2,A,9.1,C,22.7,C,2.8,A
02M077,2,P.S. 77 Lower Lab School,Mara Ratesic Koetke,EMS,Elementary,9.83,A,76.3,7.6,B,19.7,A,49,A,0,A
02M089,2,P.S. 89,Veronica Najjar,EMS,Elementary,11.57,B,47.6,8.2,B,8.3,C,29.1,B,2,A
02M104,2,J.H.S. 104 Simon Baruch,Rosemarie Gaetani,EMS,Middle,3.13,B,53,6.8,B,11.3,B,31.4,B,3.5,A
02M111,2,P.S. 111 Adolph S. Ochs,Irma Medina,EMS,K-8,52.01,B,52.6,5.5,C,4.1,D,36,A,7,A
02M114,2,East Side Middle School,David Getz,EMS,Middle,3.62,A,78.3,13.2,A,19.1,A,40.5,A,5.5,A
02M116,2,P.S. 116 Mary Lindley Murray,Jane Hsu,EMS,Elementary,20.28,B,51.3,8.2,B,14.3,B,23.3,C,5.5,A
02M124,2,P.S. 124 Yung Wing,Alice Hom,EMS,Elementary,26.08,A,67.3,7.7,B,15.6,A,41.7,A,2.3,A
02M126,2,P.S. 126 Jacob August Riis,Kerry Decker,EMS,K-8,40.66,A,75,7.7,B,14.9,A,44.9,A,7.5,A
02M130,2,P.S. 130 Hernando De Soto,Lily Woo,EMS,Elementary,27.53,A,88.3,13.1,A,15.6,A,51.6,A,8,A
02M131,2,M.S. 131,Phyllis Tam,EMS,Middle,2.89,B,61.9,9.2,B,8.6,C,37.8,A,6.3,A
02M150,2,P.S. 150,Maggie Siena,EMS,Elementary,14.53,B,52.4,9.4,A,8.6,C,34.4,B,0,A
02M158,2,P.S. 158 Bayard Taylor,Darryl Alhadeff,EMS,Elementary,18.68,A,79.7,3.9,D,18.9,A,49.9,A,7,A
02M167,2,J.H.S. 167 Robert F. Wagner,Jennifer Rehn,EMS,Middle,3.11,B,53.9,7.4,B,12.2,B,28.3,B,6,A
02M183,2,P.S. 183 Robert L. Stevenson,Mary Anne Sacco,EMS,Elementary,14.61,B,49.1,8.6,B,6.5,C,29,B,5,A
02M198,2,P.S. 198 Isador E. Ida Straus,Sharon Jeffrey Roebuck,EMS,Elementary,50.02,B,42.8,4.3,C,6.7,C,28.5,B,3.3,B
02M212,2,P.S. 212 Midtown West,Dean Ketchum,EMS,Elementary,23.15,A,59.5,10.4,A,10.8,B,32.8,B,5.5,A
02M217,2,P.S./I.S. 217 Roosevelt Island,Mandana Beckman,EMS,K-8,35.99,B,45.4,7.8,B,6.6,C,27.7,B,3.3,B
02M225,2,Ella Baker School,Laura Garcia,EMS,K-8,41.34,B,50.9,6.3,B,4.1,D,37.7,A,2.8,A
02M234,2,P.S. 234 Independence School,Lisa Ripperger,EMS,Elementary,9.11,B,55.1,9.1,A,14.1,B,29.9,B,2,A
02M255,2,M.S. 255 Salk School of Science,Jennifer Goodwin,EMS,Middle,3.58,B,53.1,10,A,15.4,B,23.4,C,4.3,B
02M260,2,M.S. 260 Clinton School Writers & Artists,Joseph Anderson,EMS,Middle,2.96,A,74.4,11.4,A,18,A,37.7,A,7.3,A
02M288,2,Food and Finance High School,Roger Turgeon,HS,High School,2.44,A,83.9,9.7,B,21.3,A,43.9,A,9,A
02M289,2,I.S. 289,Ellen Foote,EMS,Middle,3.37,B,59.1,9.6,A,13.4,B,32.3,B,3.8,B
02M290,2,P.S. 290 Manhattan New School,Sharon Hill,EMS,Elementary,13.17,A,78.7,12.1,A,13.6,B,45,A,8,A
02M294,2,Essex Street Academy,Alex Shub,HS,High School,2.28,A,84.2,11.8,A,23,A,43.4,A,6,A
